Longitud	Latitud
-99.586084	24.858365
-99.961085	25.150032
-98.961084	24.900032
-97.377749	28.108368
-97.461083	35.191707
-97.502749	28.025034
-97.586083	35.108373
-97.711083	34.483373
-98.169417	33.358372
-98.294417	32.775038
-101.336086	26.400033
-99.002751	24.650031
-99.336084	24.900032
-101.669419	26.483366
-99.044417	24.900032
-99.252751	24.650031
-99.294417	24.816698
-99.252751	25.691699
-99.169417	25.025032
-99.169417	25.150032
-99.377751	25.400032
-99.086084	25.483365
-99.169417	25.441699
-99.294417	25.525032
-99.377751	25.525032
-99.627751	25.691699
-100.127751	28.400034
-100.294418	30.566703
-100.752752	31.275037
-101.836086	30.483369
-102.127753	30.316703
-103.252754	34.941706
-103.502754	31.400037
-103.627754	35.108373
-103.836088	33.108372
-103.877754	33.275038
-103.919421	33.275038
-103.961088	32.941705
-103.961088	33.525039
-98.25275	26.150033
-98.50275	37.650042
-98.62775	34.691706
-98.669417	29.233368
-98.669417	29.566702
-98.669417	34.90004
-98.711084	30.98337
-98.711084	34.77504
-99.211084	30.358369
-99.252751	36.400041
-99.336084	28.025034
-99.377751	30.025036
-99.377751	30.066702
-99.377751	30.650036
-99.419418	28.358368
-99.461084	29.733369
-99.502751	33.733372
-99.544418	29.816702
-99.544418	30.400036
-99.711084	35.733374
-99.752751	30.483369
-99.794418	30.900036
-99.794418	33.983372
-99.877751	36.608374
-99.961085	29.191702
-102.086086	27.1917
-102.127753	27.608367
-100.002751	27.775034
-100.086085	27.733367
-100.086085	27.816701
-100.294418	28.066701
-100.627752	27.358367
-100.836085	27.816701
-101.169419	27.608367
-101.252752	29.233368
-104.836089	29.275035
-97.169416	25.816699
-98.669417	26.233366
-98.836084	26.275033
-100.086085	27.650034
-100.086085	27.775034
-100.127751	26.191699
-100.127751	27.233367
-100.169418	26.483366
-100.294418	27.400034
-100.336085	27.0667
-100.377752	26.316699
-100.502752	26.608366
-100.502752	26.8167
-101.044419	28.066701
-101.086086	27.483367
-101.086086	27.5667
-104.419422	29.566702
-97.336083	25.441699
-98.294417	25.358365
-98.461083	25.400032
-98.586084	25.566699
-98.669417	25.816699
-99.377751	26.233366
-99.461084	26.5667
-99.544418	26.483366
-99.586084	27.4417
-99.627751	26.025033
-99.627751	26.775033
-99.669418	27.025033
-99.752751	27.4417
-99.752751	27.483367
-99.961085	26.650033
-99.044417	23.233364
-98.419417	23.191697
-96.502749	19.525027
-96.627749	19.775028
-96.377748	19.608361
-99.002751	23.233364
-99.044417	23.650031
-98.37775	22.233363
-98.37775	23.608364
-98.50275	22.150029
-98.794417	23.40003
-99.044417	22.40003
-98.461083	21.816696
-98.336083	21.900029
-98.336083	23.650031
-98.461083	21.941696
-98.461083	23.941698
-98.50275	24.316698
-98.62775	22.108363
-98.669417	23.40003
-96.419415	19.608361
-96.419415	19.650027
-96.419415	19.691694
-96.461082	19.566694
-96.461082	19.650027
-96.461082	19.733361
-96.461082	19.775028
-96.461082	19.816694
-96.502749	19.608361
-96.502749	19.691694
-96.502749	19.733361
-96.502749	19.775028
-96.502749	19.816694
-96.544415	19.650027
-96.544415	19.733361
-96.586082	19.733361
-96.627749	19.566694
-96.711082	19.441694
-96.711082	19.483361
-96.752749	19.316694
-97.336083	20.608362
-97.711083	21.316695
-97.794416	22.983363
-98.169417	22.608363
-98.211083	23.775031
-97.711083	21.066695
-97.794416	23.191697
-97.87775	23.775031
-97.961083	22.858363
-98.086083	21.733362
-98.086083	22.90003
-98.211083	23.525031
-96.419415	19.775028
-96.502749	19.900028
-97.794416	23.775031
-90.04441	20.358361
-90.16941	20.275028
-90.252744	20.483361
-90.336077	20.441695
-87.502741	21.108362
-89.91941	21.150029
-90.211077	20.775028
-87.586075	19.775028
-87.461075	20.191695
-89.336076	18.941694
-87.586075	19.816694
-87.836075	19.858361
-88.002742	19.483361
-88.419409	19.358361
-87.044408	21.066695
-87.169408	21.066695
-87.169408	21.108362
-87.169408	21.233362
-87.211074	20.858362
-87.711075	21.025029
-87.836075	21.025029
-88.002742	20.941695
-88.044408	21.150029
-88.127742	20.983362
-88.169409	21.025029
-88.169409	21.441696
-88.252742	21.316695
-88.336075	21.150029
-88.377742	19.691694
-88.419409	21.400029
-88.586076	20.691695
-88.627742	21.275029
-88.752742	19.816694
-88.752742	20.900028
-88.794409	21.191695
-88.836076	20.566695
-88.877742	20.816695
-88.919409	20.108361
